epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9085,0.78577,1.51993,1.17565,0.57856,0.85,0.87867,0.63494,1.63115,1.06726,1.37465,0,0,0
2,33.0106,0.90093,2.1976,1.23444,0.56779,0.85,0.87776,0.63471,1.64905,1.05966,1.37666,1.07219e-06,1.07219e-06,1.07219e-06
3,34.9337,1.08475,1.89551,1.44979,0.60236,0.85,0.84924,0.64989,1.64271,1.04468,1.37323,1.90876e-06,1.90876e-06,1.90876e-06
4,36.6246,1.08332,1.64187,1.41041,0.61364,0.85,0.85088,0.65038,1.64102,1.04595,1.37047,2.50971e-06,2.50971e-06,2.50971e-06
5,38.5292,0.95879,2.03678,1.37755,0.61957,0.85,0.87932,0.65405,1.61965,1.03889,1.3519,2.87504e-06,2.87504e-06,2.87504e-06
6,40.3968,1.05603,1.54936,1.4641,0.63139,0.85,0.85257,0.65157,1.61002,1.0226,1.34445,3.00475e-06,3.00475e-06,3.00475e-06
7,42.1761,0.97952,1.61074,1.32927,0.63849,0.85,0.85249,0.65122,1.59489,1.02806,1.33875,2.89884e-06,2.89884e-06,2.89884e-06
8,43.9341,1.01396,1.80197,1.42567,0.65039,0.85,0.87424,0.65383,1.5958,1.02682,1.33835,2.55731e-06,2.55731e-06,2.55731e-06
9,45.8476,1.09777,1.61622,1.43404,0.65246,0.85,0.85918,0.64473,1.58326,1.02116,1.33113,1.98016e-06,1.98016e-06,1.98016e-06
10,47.8086,0.94087,1.49535,1.24596,0.65762,0.85,0.86173,0.64606,1.55833,1.01421,1.3195,1.16739e-06,1.16739e-06,1.16739e-06
